202100001,Juan,Puchuri,47988821,29,915359855,0
202100002,Angela,Sanchez,52416385,28,963528741,0
202100003,Grecia,Huarote,45678985,27,951753457,0
202100004,Rodrigo,Lopez Osorio,76291782,23,900012345,1
202100005,Felipe,Chavez Paz,42789101,30,934267189,0
202100006,Lucía ,Rojas Luz,76432628,21,909192834,0
202100007,Sol,Peña Flores,76541425,18,927362718,2
202100008,Elena,Paz Oroya,76524351,17,986372819,0
202100009,Jose,Rocbles,45678945,25,999999444,1
202100010,,jose laura,vicente,76424314,20,999999999,0
